"Id","Distance.band","Distance.band.used.for.weighting","Urban.rural","Market","ISP","Technology","LLU","Headline.speed","Download.speed..Mbit.s..24.hrs","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","isp.weights","nat.weights"
"23",1377,"1367-1635","","Urban",3,"Sky","FTTC","Non-LLU",40,22.1193,34.2314,20.7931,9.466,10.968,9.033,30.411,0.001,28.816,0,1.212,1.178,1.65,1.633,32.694,0.002,35.394,0.01,471.546,458.132,1,0.0221
"24",1381,"582-763","","Urban",2,"BT","FTTC","Non-LLU",80,56.946,58.1756,56.7192,14.68,15.193,14.661,26.347,0.001,26.328,0.002,0.955,0.913,1.126,0.879,25.534,0,25.485,0,356.902,350.578,1,NA
"25",1384,"582-763","582-946","Urban",3,"Plusnet","ADSL","Non-LLU",20,11.2179,13.8179,11.1452,1.042,1.204,1.04,27.447,0,26.879,0,0.558,0.419,0.566,0.479,27.19,0.001,26.652,0.001,472.218,468.926,0.69,0.0226
"26",1389,"1635-1992","","Urban",3,"Sky","FTTC","Non-LLU",40,37.3253,37.5937,37.3626,9.563,10.094,9.591,28.024,0.001,26.614,0,0.231,0.234,0.221,0.22,21.023,0.001,21.049,0.001,295.318,331.943,1,0.0312
"27",1390,"2563-5000","1992-5000","Urban",1,"BT","ADSL","Non-LLU",20,1.9223,2.0851,1.9341,0.723,0.836,0.719,18.158,0.002,17.958,0,NA,NA,NA,NA,16.14,0,16.536,0,1901.912,2017.757,0,0.2158
"28",1393,"1143-1367","946-1367","Urban",3,"BT","ADSL","Non-LLU",20,12.2499,13.1818,12.235,1.181,1.297,1.193,14.979,0,15.106,0,0.517,0.339,0.402,0.349,13.677,0,13.78,0,385.176,395.996,1.3,0.1944
"29",1404,"1143-1367","","Urban",2,"Sky","FTTC","Non-LLU",40,36.2506,37.6301,36.5102,9.23,9.767,9.439,20.976,0.001,19.271,0,0.613,0.274,0.37,0.296,18.419,0,18.266,0.001,265.316,286.682,1,NA
"30",1407,"2563-5000","2274-5000","Urban",3,"Sky","ADSL","LLU",20,2.5067,3.3617,2.2037,0.754,0.862,0.752,43.182,0,38.15,0,0.919,0.571,0.966,0.529,36.62,0.006,38.39,0.005,1736.926,2146.695,1.54,0.4104
"31",1408,"1992-2563","","Urban",3,"BT","ADSL","Non-LLU",8,2.4839,2.5994,2.4919,0.44,0.505,0.434,30.734,0,30.822,0,1.249,0.516,1.241,0.536,29.14,0,29.011,0,1765.847,1786.492,0,0.1536
"32",1409,"1992-2563","","Urban",3,"Plusnet","ADSL","Non-LLU",8,3.6534,4.121,3.6573,0.651,0.778,0.662,25.779,0.001,24.71,0,0.644,0.9,0.709,0.71,25.301,0.001,24.663,0.001,1169.905,1121.06,0,0.025
