URBAN2,Nation,DL24hrmean,UL24hrmean,Latency24hr,Web24hr
3,Urban,#NULL!,37.190616,0.90547619,0.02
3,Urban,#NULL!,37.527792,0.38428571,0
3,Urban,#NULL!,14.697448,0.541375,0
3,Urban,#NULL!,37.201184,0.89545,0.01
3,Semi-urban,#NULL!,5.340848,0.5056,0.12
3,Rural,Distance band 20,16.773824,0.43694737,0.01
3,Urban,#NULL!,139.646664,0.43121429,0
3,Semi-urban,#NULL!,59.258312,1.02564706,0
3,Semi-urban,#NULL!,149.171256,1.28644444,0.16
3,Urban,#NULL!,37.15324,0.45109091,0.56
3,Semi-urban,#NULL!,27.103224,1.281,1.1
3,Semi-urban,#NULL!,106.116864,0.25168421,0
3,Urban,#NULL!,37.178984,0.47536842,0
3,Urban,#NULL!,37.147272,0.44,0.07
3,Semi-urban,Distance band 14,7.52712,0.38631579,0.17
3,Urban,Distance band 10,8.124936,0.74372222,0.03
3,Semi-urban,Distance band 16,4.870616,0.9105,0.08
2,Rural,#NULL!,72.758144,0.49527778,0.03
3,Urban,#NULL!,88.525672,2.0472,0
2,Rural,Distance band 20,10.580816,0.80157895,0
3,Semi-urban,#NULL!,74.31204,0.87276471,0.04
3,Semi-urban,Distance band 6,17.738328,0.92628571,0
3,Rural,#NULL!,18.882408,0.46294737,0
3,Semi-urban,#NULL!,37.152888,1.3658,0.06
3,Urban,#NULL!,54.006536,0.33783333,0
3,Urban,Distance band 4,16.953264,0.61805263,0.05
3,Urban,Distance band 1,15.752944,0.37783333,0
3,Urban,#NULL!,107.464112,0.34783333,0.01
3,Urban,#NULL!,74.762368,0.3098125,0
3,Urban,#NULL!,160.90092,0.30263158,0.01
3,Urban,Distance band 11,7.034776,0.61192308,0.09
2,Urban,#NULL!,27.862024,0.82078947,0.02
3,Urban,#NULL!,37.6174,0.39185714,0
3,Semi-urban,#NULL!,37.477912,0.30795,0
3,Urban,#NULL!,150.005808,0.20938095,0.01
3,Urban,#NULL!,70.972472,0.4587619,0.01
3,Urban,#NULL!,54.702912,0.38652632,0
3,Urban,#NULL!,107.406264,0.3500625,0.02
3,Urban,#NULL!,74.322032,0.54705882,0
3,Urban,#NULL!,52.568752,0.57972222,0.04
3,Urban,Distance band 3,8.75432,1.11011111,0.86
3,Urban,#NULL!,55.732664,1.13044444,0.02
3,Urban,#NULL!,206.262656,0.27825,0
3,Urban,#NULL!,160.922264,0.27395,0
3,Urban,#NULL!,160.374432,0.30061905,0
3,Urban,#NULL!,105.36784,0.3186,0.03
3,Urban,#NULL!,161.196184,0.2175,0
3,Urban,#NULL!,74.324184,0.80963636,0.01
3,Urban,#NULL!,37.161768,0.34580952,0.01
3,Urban,Distance band 7,12.155728,1.14689474,2.09
3,Urban,#NULL!,99.823904,0.72033333,0
3,Urban,#NULL!,72.022512,0.86766667,1.17
3,Urban,#NULL!,54.002584,0.35388889,0
3,Urban,#NULL!,56.732864,2.77005,0.18
3,Urban,#NULL!,37.211368,1.2838,0.01
3,Urban,#NULL!,128.932488,2.23028571,0.03
3,Urban,#NULL!,74.291648,0.33183333,0.01
3,Urban,#NULL!,37.361304,0.79605,0
3,Urban,#NULL!,52.146472,2.62611765,0
3,Urban,#NULL!,37.140992,0.63923077,0
3,Urban,#NULL!,37.189008,0.2867619,0.09
3,Urban,#NULL!,72.462936,0.36127273,0.01
3,Urban,#NULL!,107.48888,0.152,0.01
3,Semi-urban,Distance band 17,7.428592,0.56078947,0.01
3,Urban,Distance band 11,10.767032,0.38557895,0.09
3,Urban,#NULL!,36.288816,0.626,0.01
3,Urban,#NULL!,161.295144,0.216,0
3,Urban,#NULL!,157.926976,0.54393333,0.01
3,Urban,#NULL!,74.327096,0.40971429,0.01
3,Urban,Distance band 8,16.701784,0.55357143,0.01
3,Urban,#NULL!,67.272256,0.3587,0.01
3,Urban,#NULL!,74.243392,0.50507692,0
3,Urban,#NULL!,37.178968,0.77672222,0.11
3,Urban,#NULL!,37.522128,0.451,0.02
3,Urban,Distance band 8,7.124416,0.62577778,0.26
2,Urban,#NULL!,37.15972,0.7218125,0
3,Urban,#NULL!,62.176432,0.34221429,0.01
,Urban,Distance band 1,9.018872,0.68585714,0.06
1,Rural,#NULL!,74.199488,1.12694444,0.03
,Urban,#NULL!,37.115128,0.70977778,0
3,Urban,Distance band 5,8.39776,6.36275,0.05
3,Urban,#NULL!,72.569848,0.832,0.01
3,Urban,Distance band 3,15.57712,0.587,0.2
3,Urban,#NULL!,74.318024,0.316,0
3,Semi-urban,Distance band 14,15.404256,1.36542105,0.33
3,Semi-urban,Distance band 8,13.755256,0.6047,0.15
1,Rural,#NULL!,60.240288,1.03175,0.14
3,Urban,#NULL!,74.776792,0.28890476,0.16
3,Urban,#NULL!,72.78872,0.38215,0
3,Urban,#NULL!,158.112912,0.52672222,0.01
3,Urban,#NULL!,41.592208,2.9538,0.03
3,Urban,Distance band 1,8.735824,0.4768,0.02
3,Urban,Distance band 4,13.055336,1.56721053,0.02
3,Urban,#NULL!,130.362376,0.4075,0.04
3,Urban,#NULL!,153.07276,0.56147368,0.11
