Urban.rural,Market,Download.speed..Mbit.s..24.hrs,Upload.speed..Mbit.s.24.hour,DNS.resolution..ms.24.hour,Latency..ms.24.hour,Web.page..ms.24.hour
Urban,3,44.0026,17.514,26.064,24.557,345.172
Urban,3,26.334,2.171,18.226,14.676,322.666
Urban,3,51.8799,13.098,18.184,18.011,244.193
Urban,3,14.0078,0.984,18.21,13.688,678.009
Urban,3,66.8908,17.104,21.821,19.775,273.853
Urban,2,37.088,9.496,21.76,19.623,259.474
Urban,3,4.7167,0.846,29.331,28.271,1149.932
Urban,3,0.6678,0.283,69.238,55.57,5438.934
Urban,2,51.4784,3.116,10.896,12.921,190.789
Urban,3,6.7151,0.971,16.317,15.867,651.47
Rural,1,6.0195,0.349,37.123,34.508,1100.037
Urban,3,37.0287,9.457,14.471,13.732,224.581
Urban,3,62.7482,18.633,19.036,18.143,260.869
Urban,3,72.3061,17.639,22.092,24.406,315.162
Urban,3,16.01,1.054,16.856,16.917,344.215
Urban,3,5.9034,0.353,20.405,20.207,788.549
Urban,3,17.3709,0.876,15.605,20.573,517.616
Urban,3,3.4617,0.685,45.441,31.274,1351.653
Urban,3,46.1374,14.163,21.764,20.426,287.966
Urban,3,8.229,0.831,13.366,10.708,944.398
Rural,1,5.0982,0.38,50.594,49.055,953.876
Rural,3,8.3496,1.083,13.135,10.307,1074.711
Urban,3,15.6507,1.241,34.8,30.418,499.552
Urban,2,12.5395,0.913,31.983,31.546,481.342
Urban,2,1.9567,0.642,38.16,31.332,2121.559
Urban,3,48.3036,16.618,9,8.545,149.249
Urban,3,37.2982,9.498,9.418,11.146,232.022
Urban,3,31.75,7.309,23.104,NA,NA
Urban,3,12.124,0.814,26.712,22.742,650.349
Rural,3,2.386,0.68,18.096,17.559,1504.15
Urban,3,37.2917,9.487,7.464,5.708,209.926
Urban,3,53.4405,2.673,13.153,9.579,236.329
Urban,1,4.2085,0.619,31.903,33.836,1006.8
Urban,3,65.431,18.664,16.537,18.606,NA
Rural,2,69.8082,18.688,21.158,20.279,290.675
Urban,3,36.8213,8.493,29.135,25.042,337.557
Urban,3,14.4713,0.836,28.674,19.172,998.034
Urban,3,62.6776,17.254,NA,14.398,NA
Urban,3,7.9443,1.055,20.784,17.918,901.073
Urban,3,1.1001,0.515,46.005,46.156,3449.998
Urban,3,72.1099,18.624,6.717,7.072,159.903
Urban,3,21.2577,1.955,15.418,14.106,307.04
Urban,1,12.4147,0.948,29.89,29.327,496.521
,0,8.3143,0.999,18.336,5.703,1886.514
Urban,3,35.0374,8.806,21.38,19.396,289.055
Urban,3,53.0093,3.096,13.892,14.004,197.898
Urban,3,9.5307,0.867,23.499,16.937,770.593
Rural,1,12.1267,3.466,NA,25.925,NA
Rural,1,2.3724,0.383,19.554,18.288,1496.257
Urban,3,61.9949,3.015,17.058,13.866,229.467
Urban,3,73.8518,18.595,10.081,9.008,157.784
Rural,1,13.7995,0.872,27.658,26.836,750.004
Urban,3,49.7969,16.276,22.118,19.211,294.397
Rural,1,3.3738,0.429,42.785,41.42,1232.671
Urban,3,5.3002,0.705,40.134,23.043,981.839
Rural,2,1.3118,0.359,40.176,39.266,2793.894
Rural,2,23.9528,3.77,26.961,25.401,371.824
Urban,3,68.9189,18.449,11.566,11.593,176.989
Rural,1,15.6713,1.171,38.33,37.241,515.859
Urban,3,34.5164,8.473,10.372,11.155,207.242
Urban,3,72.6223,18.574,14.223,13.055,207.525
Urban,3,37.0745,9.35,18.586,17.923,277.371
Urban,3,32.267,2.068,NA,13.172,NA
Rural,1,4.5268,0.39,17.42,16.582,853.713
Urban,1,17.7528,0.983,14.289,14.044,341.174
Urban,3,10.0951,0.836,24.518,21.354,719.477
Urban,3,37.2849,10.017,11.351,9.606,190.194
Rural,0,15.6037,1.891,32.143,22.802,365.725
Urban,3,66.4512,18.576,7.841,6.281,205.855
Urban,3,3.1494,0.48,39.054,39.714,1351.311
Urban,3,49.052,3.095,10.438,7.959,174.602
Urban,3,54.1409,3.115,14.179,17.919,268.036
Urban,3,52.9646,3.095,12.16,13.297,228.285
Urban,3,37.1841,6.419,7.897,6.444,179.427
Urban,3,66.4454,18.672,18.601,17.273,268.942
Urban,3,36.9143,9.06,10.984,10.233,189.343
Urban,4,16.0533,0.765,29.892,28.949,492.392
Urban,2,6.8436,0.831,38.098,28.196,796.111
Urban,3,70.3692,18.709,8.294,8.533,156.013
Rural,3,5.6216,0.723,46.283,41.869,1297.753
Rural,0,6.6974,0.424,24.948,12.986,671.686
Urban,2,37.1733,9.6,19.776,16.069,262.665
Rural,2,7.653,1.118,18.394,17.147,564.037
Urban,3,69.4705,17.996,14.938,15.252,212.889
Urban,3,12.349,0.853,28.552,19.647,826.173
Urban,2,2.5526,0.398,29.867,NA,1554.877
Urban,3,27.6724,10.005,26.014,22.294,308.85
Urban,3,64.074,18.211,NA,14.002,NA
Urban,3,17.0393,0.968,13.99,12.887,312.907
Rural,1,6.7857,0.855,34.903,30.007,739.239
Rural,2,6.4624,0.679,34.782,33.319,1560.678
Rural,1,6.7436,0.787,36.188,35.35,801.776
Urban,3,4.0409,0.353,26.364,24.506,1073.801
Urban,3,15.9833,1.16,19.85,14.656,737.783
Urban,3,1.6923,0.42,58.393,60.287,2823.998
Urban,3,3.5439,0.818,23.211,16.147,1093.54
Rural,1,5.7437,0.355,46.98,47.039,1252.626
Urban,3,10.5966,0.77,24.478,23.54,936.214
Urban,3,30.9266,17.739,18.177,16.878,350.116
Urban,2,15.0093,0.808,33.498,24.046,575.64
Rural,1,6.5467,0.374,46.963,46.978,1347.204
Rural,1,5.6584,0.344,39.661,38.615,1254.355
Rural,1,5.6504,0.827,21.081,20.819,738.826
Urban,3,36.4818,9.28,19.79,19.307,417.801
Urban,3,7.4166,0.745,35.895,34.68,746.933
Urban,3,3.9243,0.649,41.405,28.151,1340.731
Urban,2,12.9695,0.748,37.657,36.995,614.93
Urban,3,12.2688,0.748,38.012,39.011,1326.327
Urban,3,1.5023,0.631,33.978,25.679,NA
Rural,1,36.8094,9.379,18.285,10.986,361.819
Urban,1,5.8798,0.361,44.003,43.965,1591.873
Urban,2,7.0093,0.865,NA,43.8,NA
Rural,1,5.18,0.363,45.133,43.997,1910.383
Rural,1,3.9357,0.369,48.121,46.957,1415.074
Urban,2,4.8667,0.362,33.773,33.704,3932.602
Urban,3,15.9744,0.751,29.702,28.763,530.322
Urban,3,15.0014,1.179,35,18.977,482.18
Urban,2,16.6967,1.079,25.072,18.269,465.487
Urban,2,28.6159,1.867,26.038,17.13,383.436
Rural,2,15.1837,0.744,28.843,20.425,1494.137
Urban,3,6.8798,0.788,41.209,NA,910.809
Urban,3,8.0093,0.908,29.175,28.5,653.076
Urban,3,8.9388,0.724,33.273,35.622,684.937
Urban,3,14.572,0.891,15.317,15.547,650.221
Urban,3,7.4931,0.827,29.411,29.202,821.056
Urban,2,29.7681,7.858,19.732,19.543,392.356
Urban,3,12.0106,1.062,29.644,11.023,879.5
Rural,1,6.537,0.371,NA,49.487,NA
Urban,3,2.7305,0.758,36.421,31.972,1724.703
Urban,3,11.975,0.84,23.151,22.338,860.499
Urban,3,9.4744,0.582,35.821,27.5,1261.547
Rural,2,6.5054,0.903,25.112,22.804,731.406
Urban,3,4.4344,0.595,47.987,47.962,1553.803
Urban,3,11.3357,0.976,29.695,29.874,563.348
Urban,3,19.2613,1.19,21.443,19.259,428.476
Rural,1,6.4454,0.839,25.793,22.289,716.55
Urban,3,12.8885,0.633,30.129,20.473,2267.171
Urban,3,34.9127,1.865,NA,13.639,NA
Urban,3,8.4111,1.022,9.169,7.591,912.032
Urban,1,4.0132,0.594,47.55,44.618,1117.962
Urban,2,4.8121,0.806,NA,27.978,1028.089
Urban,3,5.8474,0.804,43.563,36.893,875.712
Urban,3,28.6264,17.471,10.267,13.078,312.154
Rural,1,1.3248,0.543,52.178,43.33,2920.668
Urban,2,16.311,1.03,27.162,23.77,NA
Urban,3,7.8402,0.746,NA,22.925,NA
Urban,2,0.8593,0.351,33.911,31.956,3798.019
Urban,2,2.0855,0.677,37.736,33.099,1916.88
Urban,2,9.9979,0.658,25.056,26.331,769.637
Urban,3,2.117,0.937,32.972,25.444,2522.259
Rural,1,1.1754,0.403,53.16,55.875,5317.991
Urban,3,7.7014,0.738,44.697,38.669,909.612
Rural,1,1.7537,0.369,16.588,15.034,2054.734
Urban,2,33.4981,9.309,21.629,11.801,463.414
Urban,1,16.2468,1.088,14.293,13.186,597.987
Urban,3,11.9206,0.862,21.884,14.543,619.31
Urban,3,19.7113,1.949,15.085,16.287,615.917
Urban,3,13.3742,0.857,15.038,14.427,417.902
Rural,1,1.7423,0.373,55.174,54.768,2712.07
Rural,3,1.1196,0.335,34.754,38.123,3854.067
Urban,3,34.2525,1.702,NA,17.789,NA
Urban,3,2.4186,0.324,38.465,27.797,1779.328
Urban,3,12.5795,0.857,35.168,28.307,555.263
Rural,1,1.3342,0.381,NA,42.193,NA
Urban,2,5.0171,0.981,28.208,27.346,873.912
Urban,3,13.872,0.372,17.04,16.752,530.805
Rural,2,2.5222,0.675,51.002,39.215,1909.942
Urban,3,10.5016,0.901,29.348,22.279,507.71
Urban,3,34.386,1.696,18.076,14.273,429.439
Urban,3,5.7737,1.031,26.161,19.23,1211.236
Rural,1,1.4227,0.354,31.42,25.219,2771.191
Urban,3,15.5031,5.586,31.904,28.337,512.079
Rural,2,34.6595,9.161,23.16,22.003,388.516
Urban,3,5.5115,0.87,30.746,24.466,1121.094
Urban,3,35.9462,17.624,11.996,12.172,350.249
Urban,2,36.575,9.406,18.12,11.442,326.808
Rural,1,2.2819,0.369,25.823,24.002,2141.418
Urban,3,19.3675,1.073,18.139,9.672,392.843
Rural,1,3.1927,0.379,NA,24.348,NA
Rural,1,2.4669,0.622,38.537,29.729,1565.509
Urban,3,8.3088,0.885,25.188,24.42,956.898
Rural,3,0.6386,0.448,42.924,31.676,6905.913
Urban,3,12.195,0.836,31.475,26.175,620.819
Rural,1,4.9385,0.358,35.111,33.685,976.199
Urban,1,6.66,0.371,31.632,30.83,839.583
,3,5.9938,0.736,47.086,35.04,1294.686
Rural,1,1.9597,0.295,47.63,47.036,2396.809
Urban,3,3.8312,0.824,NA,18.678,NA
Rural,1,2.0121,0.368,60.161,54.568,1999.169
Urban,2,12.8827,1.045,24.031,15.68,616.249
Urban,2,13.3257,1.072,NA,11.112,NA
Urban,3,1.5464,0.699,32.471,32.281,2801.132
Urban,3,14.758,0.809,30.502,23.346,709.848
Rural,1,6.5734,0.68,25.649,27.268,729.315
Urban,1,3.2011,0.448,43.003,38.531,1464.776
Urban,4,7.1343,0.669,40.291,31.261,1197.964
Rural,2,2.1334,0.351,41.524,41.033,2188.749
Urban,3,5.4332,0.855,42.929,33.655,799.723
Urban,3,10.0463,0.756,37.508,31.235,621.601
Urban,3,6.7056,0.833,31.445,30.826,803.25
Urban,4,8.7202,0.699,30.276,32.77,713.666
Rural,1,12.7019,0.74,NA,23.504,NA
Rural,1,10.7589,0.377,18.131,18.367,589.927
Urban,3,6.6121,0.768,38.057,30.209,732.319
Urban,3,1.8033,0.753,39.161,29.518,2070.491
Urban,3,3.5901,0.722,20.633,18.962,1190.783
Urban,3,36.5189,1.847,15.953,7.58,198.129
Rural,1,2.3615,0.7,22.314,11.859,1541.344
Rural,2,1.5263,0.399,35.776,31.399,2537.729
Urban,3,10.9399,0.671,30.02,17.244,469.637
Rural,0,2.8429,0.37,52.056,43.917,1484.46
Urban,3,29.745,6.822,21.707,21.538,493.523
Urban,2,4.959,1.107,27.494,26.176,823.347
Rural,3,4.758,0.68,38.01,28.41,889.691
Urban,3,70.7452,18.539,16.662,7.641,156.499
Urban,3,7.8178,1.09,13.756,12.069,1082.058
Rural,1,3.7587,0.687,38.258,30.297,1389.385
Rural,1,3.769,0.768,30.084,28.92,1107.182
Urban,2,40.5422,6.877,17.313,16.095,238.056
Rural,1,0.6382,0.361,38.912,37.596,5347.526
Urban,3,37.141,9.942,17.348,13.662,261.463
Rural,1,4.2067,0.815,44.057,42.785,1535.12
Rural,1,2.3304,0.387,43.619,34.522,1640.123
Urban,1,4.0312,0.367,25.495,24.866,1055.878
Urban,3,72.7667,18.712,23.225,22.842,287.983
Urban,2,15.1326,0.847,30.342,21.215,471.449
Urban,2,14.7642,0.806,21.992,25.045,541.908
Rural,1,6.1937,0.367,36.128,27.993,871.818
Urban,2,67.9342,18.557,10.528,9.353,155.145
Rural,1,1.4858,0.4,41.762,29.747,2341.482
Urban,1,9.196,1.019,21.72,21.697,514.456
Rural,1,2.1531,0.516,40.476,35.343,1767.981
Urban,3,74.0138,17.245,7.606,6.297,165.188
