"unit_id" "WT_national" "WT_ISP" "Valid_panel" "Pack_number" "Tech" "Plusnet_upload" "LLUvsNon" "MarketClass" "URBAN2" "Nation" "Dist_ADSL1" "Dist_ADSL2" "DL24hrmean" "DL24hrmax" "DLpeakmean" "DLpeakmax" "UL24hrmean" "UL24hrmax" "UL24hrmean_A" "UL24hrmax_A" "DNSFail24hr" "DNSFailPeak" "DNSRTT24hr" "DNSRTTPeak" "JitterUp24hr" "JitterUpPeak" "JitterDown24hr" "JitterDownPeak" "Latency24hr" "LatencyPeak" "PacketLoss24hr" "PacketLossPeak" "Web24hr" "WebPeak" "Disconnections" "YouTubeUHD24hr" "YouTubeHD24hr" "YouTubeSD24hr" "YouTubeFailed24hr" "YouTubeStartupDelay24hr" "YouTubeUHDPeak" "YouTubeHDPeak" "YouTubeSDPeak" "YouTubeFailedPeak" "YouTubeStartupDelayPeak" "NetflixUHD24hr" "NetflixHD24hr" "NetflixSD24hr" "NetflixFailed24hr" "NetflixStartupDelay24hr" "NetflixUHDPeak" "NetflixHDPeak" "NetflixSDPeak" "NetflixFailedPeak" "NetflixStartupDelayPeak" "iPlayerUHD24hr" "iPlayerHD24hr" "iPlayerSD24hr" "iPlayerFailed24hr" "iPlayerStartupDelay24hr" "iPlayerUHDPeak" "iPlayerHDPeak" "iPlayerSDPeak" "iPlayerFailedPeak" "iPlayerStartupDelayPeak"
"11" 14243 0 0.71 "Valid panelist" "Plusnet 80" "FTTC 76" "20.0" "Y" "3" "Urban" "Scotland" "#NULL!" "#NULL!" 69.0721399264 72.656568 67.06192448 72.33308 18.5234044568 18.716832 18.5177306664 18.716832 1.23 0 28.76530189 28.27770629 0.35050228 0.35953846 0.47377169 0.498 22.93907883 22.99895833 0.13 0.29 323.36656621 334.47176923 1 "0" "1" "0" "0" "646" "0" "1" "0" "0" "578" "1" "0" "0" "0" "914" 1 0 0 0 1020.509 "0" "1" "0" "0" "1398" 0 1 0 0 1472.84230769
"12" 42233 0 0.9 "Valid panelist" "Plusnet 80" "FTTC 76" "20.0" "Y" "3" "Urban" "Scotland" "#NULL!" "#NULL!" 68.572991284 71.948408 69.1221915896 71.897744 18.536918756 18.6428 18.5087207272 18.623072 0 0 28.05739952 28.07544888 0.33491743 0.32861111 0.37159327 0.39811765 23.04207265 23.20079487 0.02 0 278.99921142 273.0754 0 "0" "1" "0" "0" "668" "0" "1" "0" "0" "685" "1" "0" "0" "0" "633" 1 0 0 0 649.06638235 "0" "1" "0" "0" "1123" 0 1 0 0 1216.11644118
"13" 2989 1.64 0.6 "Valid panelist" "Talk Talk 20" "ADSL2" "#NULL!" "Y" "3" "Urban" "Scotland" "#NULL!" "Distance band 4" 8.9112068816 9.030928 8.8195631304 9.03056 0.7457892024 0.760592 0.7449961904 0.757248 0 0 29.8314517 30.57187838 0.9854142 0.90354545 0.98684024 0.92072727 31.13905769 31.19178261 0.16 0.71 612.03687234 709.66791304 0.133 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"14" 34011 0.32 0 "Valid panelist" "BT 40" "FTTC 38" "#NULL!" "Y" "1" "Rural" "Scotland" "#NULL!" "#NULL!" 27.0499809568 28.010312 26.8547601904 28.004512 8.2055158288 8.561808 8.206484952 8.561808 0.04 0 33.97455527 34.42001731 0.40878947 0.48119048 0.61182972 0.7833 33.30297159 33.54948571 0.02 0 449.57870915 453.5191 0.033 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"15" 146056 0 0 "Valid panelist" "Plusnet 40" "FTTC 38" "10.0" "Y" "1" "Rural" "Scotland" "#NULL!" "#NULL!" 11.0918861472 29.064424 10.2128956 29.064424 6.2759966552 6.662016 6.3086068 6.610088 0 0 32.98137883 32.27196438 1.12134286 1.1761 1.08599143 1.2372381 27.64080426 27.645 0.22 0.26 1003.674267 1031.963371 0.133 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"16" 146058 0.2 0.87 "Valid panelist" "BT 40" "FTTC 38" "#NULL!" "Y" "3" "Semi-urban" "Scotland" "#NULL!" "#NULL!" 36.2528999752 37.453288 36.1965789472 37.151008 5.0021405064 5.0778 5.0055916 5.070328 0 0 29.11225384 29.50886494 0.39837237 0.40005 0.35023724 0.38605263 23.51821418 23.55061905 0.02 0 522.673502 539.5240926 0.033 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"17" 251964 0.87 0 "Valid panelist" "Plusnet 8" "ADSL1" "#NULL!" "Y" "1" "Rural" "Scotland" "Distance band 5" "#NULL!" 0.6358781368 0.743008 0.6272164 0.743008 0.3859249312 0.48204 0.383832 0.48204 0.18 0.22 35.26511422 34.78754444 1.05851049 0.74235294 0.99178322 0.80238889 29.40703853 28.68272222 0.22 0.16 5885.71148323 5820.30117949 0.467 "0" "0" "1" "0" "3007" "0" "0" "1" "0" "4037" "0" "0" "1" "0" "2039" 0 0 0.8889 0.1111 2955.40682609 "0" "0" "1" "0" "3346" 0 0 1 0 2633.32221053
"18" 813071 0 0 "Valid panelist" "Sky 40" "FTTC 38" "#NULL!" "N" "1" "Rural" "Scotland" "#NULL!" "#NULL!" 36.9584837168 37.65916 36.9495661536 37.65916 7.981212272 8.19016 7.9668154144 8.160232 0.02 0 24.4522689 24.33132755 0.60757602 0.6053 0.39334211 0.3803 21.81322682 21.80797619 0.06 0 280.99257681 290.45729268 0.533 "0" "1" "0" "0" "558" "0" "1" "0" "0" "587" "1" "0" "0" "0" "1001" 1 0 0 0 966.93775 "0" "1" "0" "0" "1372" 0 1 0 0 1843.8886
"19" 143092 0 0 "Valid panelist" "Other 20" "ADSL2" "#NULL!" "N" "1" "Rural" "Scotland" "#NULL!" "Distance band 10" 4.4024581816 5.22584 4.3887435 5.223984 0.2837740184 0.363624 0.2834805712 0.306912 0.09 0 43.9746501 43.81559936 1.17236223 2.35527778 0.59186687 1.07205882 41.69923077 43.40880952 0.21 0.28 1789.260192 1964.894509 4.167 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
"20" 140782 2.47 0 "Valid panelist" "BT 8" "ADSL1" "#NULL!" "Y" "1" "Rural" "Scotland" "Distance band 5" "#NULL!" 3.5880028936 3.859704 3.5544048 3.818056 0.4011737712 0.472624 0.399848 0.472624 0 0 49.73344198 51.51806579 1.06588889 0.85383333 0.66159524 0.81522222 44.2349644 44.22471795 0.04 0.06 2135.659554 2140.672255 0.067 "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA "#NULL!" "#NULL!" "#NULL!" "#NULL!" "#NULL!" NA NA NA NA NA
