"","Urban.rural","Market","Download.speed..Mbit.s..24.hrs","Upload.speed..Mbit.s.24.hour","DNS.resolution..ms.24.hour","Latency..ms.24.hour","Web.page..ms.24.hour"
"104","Rural",2,5.6158,0.797,40.595,40.508,1052.418
"105","Urban",3,48.8684,9.722,14.291,14.804,208.472
"106","Urban",3,56.601,16.793,28.431,32.261,423.552
"107","Urban",3,36.8729,9.449,15.609,14.73,232.959
"108","Urban",3,52.5939,14.042,14.278,13.565,194.129
"109","Urban",3,37.2307,9.437,7.578,6.191,163.956
"110","Urban",3,33.2585,2.089,20.087,9.408,336.653
"111","Urban",3,4.4388,0.637,50.897,42.983,1001.375
"112","Urban",3,37.0702,9.497,19.309,18.398,282.507
"113","Urban",3,47.273,14.907,25.2,24.431,321.541
"114","Urban",3,6.8731,1.04,15.884,15.553,598.766
"115","Rural",1,4.6262,0.44,46.832,45.363,1940.786
"116","Urban",3,6.321,0.885,37.413,33.966,1024.697
"117","Urban",2,71.6973,17.179,7.894,8.389,144.834
"118","Urban",3,37.1937,10.014,26.832,23.195,301.052
"119","Rural",3,1.5892,0.38,30.264,24.641,2317.731
"120","Urban",3,30.0332,1.967,12.76,10.18,202.215
"121","",0,16.7247,1.027,35.484,18.894,477.02
"122","Urban",3,59.6576,3.001,18.159,18.693,274.402
"123","Rural",1,6.0888,0.661,NA,21.312,723.851
"124","Urban",2,30.4523,1.878,8.4,13.22,328.707
"125","Urban",2,14.3831,0.731,31.162,30.081,476.296
"126","Urban",2,52.8676,3.025,13.481,9.468,178.823
"127","Rural",1,33.2325,6.967,13.014,16.306,209.244
"128","Urban",3,67.7504,17.732,9.416,8.747,159.454
"129","Urban",3,6.4509,0.908,39.169,NA,NA
"130","Urban",3,63.9494,13.197,31.114,30.504,389.805
"131","Urban",3,29.2022,6.36,27.619,20.554,291.091
"132","Urban",3,57.7606,18.534,18.455,17.109,262.265
"133","Urban",3,60.2563,17.189,9.988,9.385,172.569
"134","Urban",3,9.7845,0.733,29.54,28.977,532.858
"135","Urban",3,13.2699,1.025,42.405,42.223,597.051
"136","Rural",1,12.173,1.252,36.279,29.69,676.893
"137","Urban",2,15.5175,0.868,12.518,11.862,331.249
"138","Urban",3,61.3462,2.842,12.302,9.427,166.669
"139","Urban",3,10.6318,1.138,27.715,26.029,472.179
"140","Rural",1,72.4455,20.299,17.487,15.303,229.702
"141","Urban",3,7.859,0.844,7.661,6.846,594.209
"142","Urban",3,4.5073,0.848,42.549,38.182,1214.08
"143","Urban",3,56.6778,18.294,22.547,22.422,304.391
"144","Urban",2,50.0887,15.982,9.494,8.428,160.613
"145","Urban",3,35.2216,15.81,21.222,19.666,289.013
"146","Urban",1,12.5894,0.934,28.516,19.845,412.681
"147","Urban",3,37.335,10.015,7.417,5.611,235.718
"148","Urban",3,12.0215,1.107,28.276,20.848,413.422
"149","Urban",3,73.2317,17.687,21.216,20.023,263.905
"150","Urban",3,65.2573,16.959,12.846,11.221,276.612
"151","Urban",3,72.3889,9.751,10.195,8.824,199.902
"152","Urban",3,13.7605,0.955,10.565,9.617,351.495
"153","Urban",3,19.2664,1.02,14.48,13.817,300.51
"154","Urban",3,73.1435,18.63,17.047,16.102,218.18
"155","Rural",1,17.0111,0.913,26.717,26.244,439.963
"156","Urban",3,13.3017,0.857,39.948,23.717,646.405
"157","Urban",1,67.2602,16.442,19.823,18.449,297.704
"158","Urban",2,1.4446,0.614,NA,19.304,NA
