"ID","Distance.band","Urban.rural","Market","ISP","Headline.speed","Technology","Download.speed..Mbit.s..24.hour","Download.speed..Mbit.s..Max","Download.speed..Mbit.s..8.10pm.weekday","Upload.speed..Mbit.s.24.hour","Upload.speed..Mbit.s.Max","Upload.speed..Mbit.s.8.10pm.weekday","DNS.resolution..ms.24.hour","DNS.failure....24.hour","DNS.resolution..ms.8.10pm.weekday","DNS.failure....8.10pm.weekday","Jitter.up..ms.24.hour","Jitter.down..ms.24.hour","Jitter.up..ms.8.10pm.weekday","Jitter.down..ms.8.10pm.weekday","Latency..ms.24.hour","Packet.loss....24.hour","Latency..ms.8.10pm.weekday","Packet.loss....8.10pm.weekday","Web.page..ms.24.hour","Web.page..ms.8.10pm.weekday","ISP.weights","Nat.weights"
"24","1390","2563-5000","Urban",1,"BT","20","DSL",1.99,2.346,1.991,0.631,0.779,0.611,36.471,0,36.638,0,0.946,0.587,0.948,0.71,35.208,"0.080%",35.354,"0.100%",1755.598,1740.898,NA,1.42
"25","1391","2563-5000","Urban",3,"Virgin","60","Cable",58.78,62.674,59.124,2.969,3.15,2.972,14.943,0,15.135,0,1.574,0.272,1.896,0.358,20.669,"0.330%",21.361,"0.490%",327.389,379.497,1,0.38
"26","1393","1143-1367","Urban",3,"BT","20","DSL",12.817,13.274,12.893,0.939,1.077,0.967,16.196,0,15.565,0,2.483,0.501,0.733,0.796,20.076,"0.090%",15.233,"0.270%",438.242,360.416,0.73,0.88
"27","1401","1992-2563","Urban",3,"Virgin","60","Cable",62.49,62.674,62.617,3.043,3.157,3.034,16.001,0,16.246,0,1.583,0.241,1.665,0.324,17.92,"0.060%",18.413,"0.060%",283.087,328.587,1,0.38
"28","1407","2563-5000","Urban",3,"Sky","20","ADSL2+",2.792,3.145,2.79,0.875,0.986,0.873,23.921,0.005,23.286,0.002,0.577,0.51,0.574,0.523,26.581,"0.750%",26.747,"0.450%",1958.785,1845.748,1.92,1.68
"29","1408","1992-2563","Urban",3,"BT","8","DSL",1.874,2.219,1.794,0.415,0.591,0.436,29.976,0,36.105,0,0.691,0.446,0.692,0.645,26.033,"0.280%",28.974,"0.170%",1812.758,2131.88,0.71,0.99
"30","1409","1992-2563","Urban",3,"Plusnet","8","DSL",2.792,3.945,2.59,0.635,0.812,0.667,30.362,0.005,30.243,0,0.637,0.575,0.638,0.778,28.815,"0.290%",29.24,"0.200%",1409.001,1523.247,1.05,NA
"31","1412","0-385","Urban",2,"Virgin","60","Cable",58.792,62.673,57.644,2.963,3.132,2.958,14.925,0,15.131,0,8.206,0.191,6.983,0.271,12.236,"0.030%",12.788,"0.030%",244.947,221.417,1,NA
"32","1415","385-582","Urban",3,"Sky","20","ADSL2+",15.845,16.333,15.815,1.299,1.428,1.305,34.335,0,33.791,0,0.72,0.446,0.694,0.438,36.137,"0.170%",36.113,"0.050%",547.925,577.45,0.62,NA
"33","1417","2563-5000","Rural",2,"BT","20","DSL",1.354,1.485,1.362,0.684,0.85,0.692,20.864,0,20.547,0,0.685,0.558,0.685,0.553,20.211,"0.040%",21.081,"0.030%",3817.456,3618.148,1.54,1.12
